Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;57;56.597;21.1204;36.6829;5.1179;217.92;0.443;84.24;0.041;25.74567;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;59;58.582;21.1192;36.6827;5.1178;218.33;0.444;77.42;0.043;25.74596;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;61;60.5677;21.1177;36.6821;5.1177;218.37;0.443;70.73;0.047;25.74602;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;63;62.5535;21.1197;36.6823;5.118;218.03999;0.443;63.81;0.053;25.74573;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;65;64.5386;21.1179;36.6823;5.1179;218.05;0.442;60.36;0.046;25.74633;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;67;66.5245;21.1163;36.6818;5.1177;218.11;0.442;56.11;0.055;25.74649;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;69;68.5092;21.1154;36.6818;5.1177;218.14999;0.443;50.12;0.052;25.74685;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;71;70.4948;21.1143;36.6816;5.1177;217.62;0.444;46.48;0.055;25.74711;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;73;72.4808;21.1133;36.6811;5.1176;218.32001;0.443;43.54;0.057;25.74711;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;75;74.4658;21.114;36.6813;5.1178;218.07001;0.443;40.19;0.057;25.74717;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;77;76.4514;21.1127;36.6814;5.1178;218.89999;0.443;36.27;0.057;25.74771;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;79;78.4366;21.1133;36.6814;5.1179;219.09;0.442;34.42;0.055;25.74766;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;81;80.4216;21.1144;36.681;5.1181;218.67999;0.442;32.07;0.057;25.74715;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;83;82.4087;21.1145;36.6814;5.1182;217.59;0.444;28.86;0.055;25.74754;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;85;84.3925;21.1125;36.6809;5.118;218.73;0.439;26.98;0.052;25.74781;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;87;86.3777;21.1124;36.6808;5.1181;218.36;0.441;24.91;0.059;25.74787;1;0;118.1404;102.2592;106.2293;108.2149;197.5229
