Representative_Sequence,B321D,B321N,B323D,B323N,B324D,B324N,B325D,B325N,B326D,B326N,B327D,B327N,B328D,B328N,B329N,B330D,B330N,B331D,B331N,B332D,B332N,B333D,B333N,B334D,B334N,B335D,B335N,total,relative
M04837_139_000000000-C4LDR_1_1115_19335_4789,5244,2528,6844,6840,2395,3772,4959,3315,3054,3801,3983,2454,4367,4049,2518,5487,6972,5387,1873,6721,3856,9955,5245,5675,2825,6486,7704,128309,5.157010510238942
M04837_139_000000000-C4LDR_1_1108_20016_4720,3391,2266,5550,4759,4358,4483,4263,5708,3155,4715,4473,5434,5503,9570,4526,4503,4760,3074,1240,4254,3474,5099,2389,2873,1824,5182,3968,114794,4.613814031068507
M04837_139_000000000-C4LDR_1_1102_19598_16900,36,95,34,113,12,19,197,567,979,362,150,53,133,24,17,24,31,44,153,41,63,21,39,2,38,301,102,3650,0.14670123188842668
M04837_139_000000000-C4LDR_1_2111_17059_13127,2795,1875,658,760,139,136,763,456,814,1676,2197,5739,699,1328,763,518,522,737,1291,842,1091,579,784,256,230,1236,808,29692,1.1933843773236068
M04837_139_000000000-C4LDR_1_1111_20188_2368,1,0,354,187,0,0,1395,329,1,1,0,167,15,0,0,0,0,0,0,0,0,0,183,123,2840,0,0,5596,0.2249150941500372
M04837_139_000000000-C4LDR_1_2108_7820_15354,5661,8167,6185,5582,3590,2172,3390,4985,5581,7530,8184,7286,1386,1722,1534,3661,4310,3957,5595,1448,3250,2224,4185,2661,2780,4022,4415,115463,4.640702558228331
M04837_139_000000000-C4LDR_1_2107_18716_16651,184,61,115,204,122,53,40,137,45,47,39,242,21,45,903,83,752,63,5,386,224,177,1048,25,3,142,36,5202,0.2090793995297522
M04837_139_000000000-C4LDR_1_1107_15889_4431,756,87,310,423,139,68,95,158,81,176,195,146,197,287,195,677,673,425,163,558,388,984,454,293,264,127,59,8378,0.3367295673318462
M04837_139_000000000-C4LDR_1_2118_11286_6052,1815,5928,2849,2284,123,1569,3069,3596,538,4009,61,1518,129,1183,2403,790,470,457,6540,1699,4868,115,2720,1227,1972,2214,2186,56332,2.2641024095174935
M04837_139_000000000-C4LDR_1_2103_23700_6486,790,2064,461,917,62,326,735,426,4257,2418,4315,3529,692,1063,435,1699,3489,2280,1593,1276,3114,238,2419,11,460,448,2370,41887,1.6835272603042544
M04837_139_000000000-C4LDR_1_1106_25912_16073,105,0,12,0,135,258,0,0,0,0,0,0,0,15,0,0,0,98,111,60,571,5,250,31,28,0,155,1834,0.07371234500914371
M04837_139_000000000-C4LDR_1_1117_22465_6723,189,0,0,103,6313,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,163,11671,1847,0,44,23133,0.9297642732260204
M04837_139_000000000-C4LDR_1_1107_22309_17991,48,34,67,98,196,158,39,118,15,28,7,29,23,15,150,38,90,27,43,36,21,57,163,88,155,57,444,2244,0.09019111352263821
M04837_268_000000000-JK5FH_1_1107_9931_11626,1793,0,66,51,0,0,0,73,30,280,25,18,26,451,419,305,316,316,553,7,0,44,0,7,26,0,52,4858,0.19525331082574707
M04837_139_000000000-C4LDR_1_1113_24062_3076,657,317,1359,1432,842,283,1399,1075,1076,879,810,977,2268,1817,1167,465,570,1225,173,1254,631,1870,515,472,170,992,647,25342,1.0185486626072626
M04837_139_000000000-C4LDR_1_2101_5689_18702,0,23,0,0,41,0,552,115,737,389,619,781,275,188,39,129,166,108,152,16,18,10,51,0,0,0,15,4424,0.17780993147243826
M04837_139_000000000-C4LDR_1_2119_22602_15301,286,24,353,496,70,20,377,604,64,124,280,261,1736,791,1292,737,483,722,24,480,116,643,78,159,2,54,91,10367,0.4166716906814574
M04837_139_000000000-C4LDR_1_2112_24906_3225,46,5076,282,190,523,939,686,110,5330,1700,330,506,5044,217,411,9889,1340,7732,2061,1695,2324,100,163,150,146,653,546,48189,1.9368179899921625
M04837_268_000000000-JK5FH_1_2106_12534_15573,289,62,439,441,397,137,875,574,1343,960,1049,819,1279,1029,1204,332,376,331,59,340,201,659,211,234,72,299,453,14464,0.5813387994614256
M04837_139_000000000-C4LDR_1_1101_11813_11420,3572,1263,2873,1390,347,811,1068,1514,1181,3202,516,345,529,782,1052,1320,638,2138,1143,4921,867,1995,1952,99,1583,227,1678,39006,1.5677337674082112
M04837_139_000000000-C4LDR_1_2114_12534_9377,0,86,60,28,0,1139,112,22,285,199,56,210,0,2,1,99,5,842,640,95,2946,1039,105,0,153,19,1093,9236,0.3712144048552079
M04837_139_000000000-C4LDR_1_2101_6531_12972,0,267,0,0,0,0,0,0,0,0,0,0,619,0,0,347,0,76,436,0,0,185,0,0,0,0,0,1930,0.07757078836840095
M04837_139_000000000-C4LDR_1_1109_18068_12246,181,47,193,175,28,30,82,102,0,117,0,0,70,107,49,0,100,96,121,0,72,0,113,55,56,244,41,2079,0.08355941399891481
M04837_268_000000000-JK5FH_1_1115_16828_1424,527,208,0,0,0,0,772,706,0,0,0,0,464,379,305,367,303,306,0,0,0,782,0,0,0,0,246,5365,0.21563071481682441
M04837_139_000000000-C4LDR_1_1109_22318_17354,365,332,144,88,49,69,5763,402,530,94,674,163,1057,10,195,359,201,317,71,902,334,336,708,88,322,163,369,14105,0.5669098289825365
M04837_139_000000000-C4LDR_1_2110_22549_9677,938,411,0,0,1707,1596,370,0,0,512,0,0,0,0,2491,2350,1726,920,707,1379,1904,653,381,758,664,820,1905,22192,0.8919434898816342
M04837_139_000000000-C4LDR_1_1105_24508_5412,95,22,108,92,144,126,61,60,128,102,343,139,122,199,158,4,1,2,4,29,3,56,14,23,0,21,28,2084,0.0837603745905428
M04837_139_000000000-C4LDR_1_2113_6353_16367,189,1605,0,1,0,0,3000,26,2449,459,426,135,0,0,4,0,117,0,331,5,0,0,230,0,105,53,1,9136,0.36719519302264825
M04837_139_000000000-C4LDR_1_2108_10126_12572,509,30,49,230,0,92,7,108,6,86,179,149,106,691,575,831,1148,147,138,326,29,649,726,251,278,2,341,7683,0.30879604509555675
M04837_139_000000000-C4LDR_1_1117_19571_14583,640,264,691,653,0,247,488,404,986,1229,372,186,22,372,0,113,79,354,339,174,255,117,1086,215,116,111,36,9549,0.38379453789111956
M04837_139_000000000-C4LDR_1_2101_12473_14135,625,3582,188,163,660,419,342,511,273,178,130,402,86,355,64,133,131,457,1032,339,386,170,202,978,437,435,477,13155,0.52872731657322
M04837_139_000000000-C4LDR_1_2114_26951_8168,0,2,0,0,0,0,0,0,0,0,0,0,0,0,274,200,0,308,426,576,528,17,2017,0,1,0,0,4349,0.17479552259801853
M04837_139_000000000-C4LDR_1_1101_22807_2924,5136,547,1356,1233,891,909,397,278,419,353,251,363,58,338,244,451,567,1441,425,1873,833,596,867,380,178,712,380,21476,0.8631659331605073
M04837_139_000000000-C4LDR_1_1104_27304_12096,47,112,0,0,46,14,173,310,0,5,1,0,711,673,11,389,320,188,207,2,1,0,11,0,0,8,34,3263,0.1311468820964209
M04837_139_000000000-C4LDR_1_1114_15972_23599,195,22,9,53,79,455,79,334,356,1006,206,258,960,456,1360,961,133,29,672,62,44,75,6,83,22,0,0,7915,0.3181206165470951
M04837_139_000000000-C4LDR_1_1105_18821_19660,1137,398,762,709,0,0,414,0,0,0,0,0,464,0,319,591,624,796,0,854,531,1948,946,1554,548,1312,0,13907,0.5589517895540684
M04837_139_000000000-C4LDR_1_2112_16619_5799,0,47,2,2,94,565,0,0,0,0,0,1,0,0,1,0,0,0,0,8,732,19,699,207,242,0,23,2642,0.10618757661622556
M04837_139_000000000-C4LDR_1_2101_13360_17819,5557,1480,6777,6397,976,871,4328,3764,5080,4956,5410,3047,2749,3652,1977,3646,3379,3178,2636,3306,2735,4226,3980,2422,2163,10536,1966,101194,4.0672012218403975
M04837_139_000000000-C4LDR_1_1112_12964_19508,458,43,92,73,0,263,671,447,82,26,174,87,106,489,1253,290,86,22,13,556,165,212,203,3077,584,289,39,9800,0.39388275959084423
M04837_139_000000000-C4LDR_1_2113_24032_24068,155,73,3,46,0,0,2,14,106,37,333,47,12,3,376,112,72,68,8,127,109,52,55,2,3,161,0,1976,0.07941962581137839
M04837_139_000000000-C4LDR_1_2101_4917_18911,38,695,152,23,0,0,1,583,34,30,63,116,37,18,12,9,0,0,0,0,200,33,83,388,0,0,1,2516,0.10112336970720041
M04837_139_000000000-C4LDR_1_2104_20074_18005,167,14,313,497,0,0,2653,247,64,39,0,40,0,306,1628,170,80,1259,11,484,686,453,552,628,1874,118,0,12283,0.4936797893933
M04837_139_000000000-C4LDR_1_2110_20129_21295,18,151,2,2,101,69,31,275,0,87,0,45,29,77,333,134,184,75,124,60,83,77,137,24,56,5,193,2372,0.09533570466831455
M04837_139_000000000-C4LDR_1_2113_20501_12023,105,274,386,269,198,243,354,336,544,594,182,124,77,0,19,41,54,46,85,147,68,34,137,243,240,436,97,5333,0.21434456703040533
M04837_139_000000000-C4LDR_1_2101_21034_16071,340,391,711,1033,611,1194,471,1213,434,693,76,156,81,89,817,927,915,1373,253,2342,1629,3970,4106,2152,781,761,790,28309,1.137798677679307
M04837_268_000000000-JK5FH_1_1111_16739_18626,4249,3035,581,211,503,645,530,1257,181,1307,350,658,322,1084,2369,1287,1728,2124,4422,1014,2617,473,963,639,909,999,1429,35886,1.4423343582323507
M04837_139_000000000-C4LDR_1_1117_10536_10418,942,275,459,465,575,266,1271,1238,621,459,668,777,4285,4354,1361,2234,2584,2088,751,401,125,1018,84,55,249,875,705,29185,1.1730069733325295
M04837_139_000000000-C4LDR_1_2101_17380_8856,0,0,3551,3024,20,4117,0,0,98,1537,1539,823,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,14742,0.5925122083559414
M04837_139_000000000-C4LDR_1_1117_13058_10703,257,1451,17,31,217,296,64,3,0,19,0,0,0,0,7,135,120,751,83,541,761,226,1294,1492,5478,556,71,13870,0.5574646811760214
M04837_139_000000000-C4LDR_1_2107_15987_5069,410,2380,2015,74,0,0,250,1567,477,58,514,689,551,62,167,57,0,0,1495,0,542,149,649,943,0,31,0,13080,0.5257129076988003
M04837_139_000000000-C4LDR_1_1115_26696_17897,407,0,251,264,339,0,0,0,0,0,181,62,0,0,0,249,0,0,0,123,0,655,644,221,0,0,290,3686,0.14814814814814814
M04837_139_000000000-C4LDR_1_1118_25967_10455,386,1188,880,590,36,213,437,203,2636,1362,2588,2328,399,629,260,924,2002,1522,2360,756,2147,384,1356,8,244,287,1287,27412,1.1017463475412472
M04837_139_000000000-C4LDR_1_1114_21929_19970,873,96,855,1018,18535,10236,338,286,32,261,3,199,1322,463,257,103,130,839,15,1444,71,753,1035,6380,940,401,412,47297,1.9009666204457305
M04837_139_000000000-C4LDR_1_2116_21700_5783,0,0,0,0,0,0,0,0,0,1101,0,95,601,0,0,1092,903,276,0,0,137,0,0,0,0,0,0,4205,0.16900785755913264
M04837_139_000000000-C4LDR_1_2116_14846_19618,15,9,9,10,1271,566,10,24,2,43,2,9,27,52,194,259,249,80,0,122,43,1180,2553,384,133,19,54,7319,0.29416611402503967
M04837_139_000000000-C4LDR_1_1105_15834_22985,102,88,208,196,127,138,77,120,120,151,184,159,154,270,109,150,161,104,68,89,87,126,52,0,38,163,62,3303,0.13275456682944475
M04837_139_000000000-C4LDR_1_2101_12229_10447,2,25,193,144,0,2,0,0,0,149,0,391,0,0,472,2,1667,0,1223,0,1918,0,754,2,1205,0,2897,11046,0.4439621390245373
M04837_139_000000000-C4LDR_1_1116_21555_13301,139,158,2,4,153,5,425,409,3,3,5,1,214,456,0,231,205,124,137,89,4,0,0,0,5,92,121,2985,0.1199734732019051
M04837_139_000000000-C4LDR_1_1104_8880_8730,0,0,18,25,181,223,5992,834,1192,228,29,36,244,2,0,0,0,0,0,0,0,0,0,0,1,33,179,9217,0.37045075460702154
M04837_139_000000000-C4LDR_1_2110_15539_18010,0,0,49,0,592,1005,48,470,0,248,22,154,37,0,913,0,170,162,0,102,448,0,329,327,785,162,1730,7753,0.3116094933783485
M04837_139_000000000-C4LDR_1_1105_22439_18387,3,0,17,53,8,10,248,237,376,178,641,129,263,218,92,106,59,35,22,15,3,10,8,5,13,62,43,2854,0.11470830570125198
M04837_139_000000000-C4LDR_1_1112_17047_8173,61,43,191,36,3877,7354,0,150,7,21,1,22,0,0,0,0,0,0,0,0,0,0,334,1604,3024,2027,224,18976,0.7626856373465164
M04837_139_000000000-C4LDR_1_2115_12156_10720,464,190,451,480,37,91,412,340,839,546,1061,256,164,294,1202,316,392,788,730,422,493,54,459,134,346,490,177,11628,0.46735395189003437
M04837_139_000000000-C4LDR_1_2110_6015_3339,161,99,54,50,13,16,40,24,42,105,169,281,42,68,44,35,35,47,65,38,36,43,33,16,13,86,40,1695,0.06812564056188582
M04837_139_000000000-C4LDR_1_1119_19879_12517,12,7,3,43,50,25,145,40,678,240,588,230,655,493,326,23,14,42,59,30,4,20,7,11,9,6,13,3773,0.15164486244247502
M04837_139_000000000-C4LDR_1_2113_18110_21441,132,80,248,189,76,97,125,0,147,136,243,78,192,84,80,234,200,212,0,157,77,379,111,111,0,184,0,3572,0.14356624665903017
M04837_139_000000000-C4LDR_1_1118_22546_5478,129,0,0,0,5,1,150,57,174,38,72,37,256,157,371,184,53,223,0,305,91,39,6,121,5,135,209,2818,0.11326138944153051
M04837_139_000000000-C4LDR_1_1113_23578_4353,48,0,98,72,33,15,66,61,61,66,89,14,58,81,91,35,61,15,9,33,26,93,75,47,5,31,6,1289,0.0518076405216937
M04837_139_000000000-C4LDR_1_2114_8001_11503,0,312,728,0,0,0,61,321,385,316,161,3852,0,0,0,1014,0,0,0,0,1779,0,16,0,0,134,46,9125,0.3667530797210667
M04837_139_000000000-C4LDR_1_1119_25657_8962,210,135,480,442,792,190,361,422,53,80,62,48,432,376,305,391,326,258,9,323,182,1208,356,1319,156,645,314,9875,0.39689716846526396
M04837_139_000000000-C4LDR_1_2116_22087_8927,463,104,208,317,61,29,58,91,65,148,118,139,150,155,111,499,448,273,114,417,280,647,286,192,292,76,46,5787,0.23259178875022607
M04837_139_000000000-C4LDR_1_2114_20456_17737,9,2,27,38,7,3,168,149,245,110,430,113,118,194,60,60,58,19,20,17,2,3,5,10,20,70,33,1990,0.07998231546793674
M04837_139_000000000-C4LDR_1_2104_28209_16375,66,164,158,128,137,101,45,64,56,71,44,25,19,13,25,21,37,20,35,23,20,30,93,37,40,37,10,1519,0.061051827736580855
M04837_139_000000000-C4LDR_1_1111_15941_10740,96,65,193,206,195,171,305,251,661,560,876,526,952,858,987,32,31,64,9,76,22,23,14,3,1,39,138,7354,0.29557283816643554
M04837_139_000000000-C4LDR_1_2115_23047_22761,110,90,298,406,285,273,431,418,873,417,215,272,245,632,110,331,491,233,11,328,239,627,158,358,24,376,643,8894,0.35746870038785394
M04837_139_000000000-C4LDR_1_2111_7246_5029,1362,221,629,913,232,110,171,261,227,366,386,354,323,454,318,1421,1230,815,260,1142,866,1919,923,503,581,175,139,16301,0.6551717208255461
M04837_139_000000000-C4LDR_1_1117_18093_21291,0,0,0,0,0,0,0,0,0,0,1,7286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7287,0.2928799662386206
M04837_139_000000000-C4LDR_1_2102_20134_24739,442,387,0,91,0,0,0,1563,0,387,21,221,353,3582,870,172,872,242,623,184,480,387,172,194,113,0,105,11461,0.4606418681296598
M04837_139_000000000-C4LDR_1_2115_25427_7468,518,132,2,0,0,0,0,153,0,110,0,34,581,264,0,0,0,47,92,782,99,460,0,128,134,0,0,3536,0.14211933039930869
M04837_139_000000000-C4LDR_1_1112_18479_17248,0,0,0,0,0,0,542,562,0,829,0,0,1415,1154,382,421,0,0,0,0,0,966,208,0,0,0,0,6479,0.26040473463153874
M04837_139_000000000-C4LDR_1_1104_28736_16190,157,7,95,72,0,1,2,0,60,35,32,698,151,4,0,1,118,149,110,76,94,0,169,122,4,162,20,2339,0.09400936476356986
M04837_139_000000000-C4LDR_1_1113_16903_9745,16,12,112,164,183,13,21,4,7,10,5,10,211,66,58,144,67,96,2,84,28,219,42,1,0,4,3,1582,0.06358393119109343
M04837_139_000000000-C4LDR_1_2108_13197_5303,44,0,182,139,41,21,78,74,154,73,87,42,128,96,107,33,52,23,0,65,27,195,86,33,0,29,0,1809,0.0727075420510038
M04837_139_000000000-C4LDR_1_1108_21101_12972,160,57,1429,1216,75,70,375,317,894,723,492,528,197,202,35,61,131,198,269,575,427,57,243,153,96,563,86,9629,0.3870099073571673
M04837_139_000000000-C4LDR_1_2118_24551_8140,158,56,98,88,103,48,162,169,101,206,68,85,129,105,44,74,65,79,42,88,73,102,62,53,70,156,114,2598,0.10441912340989933
M04837_139_000000000-C4LDR_1_2115_16789_7537,266,1,76,95,573,829,183,163,161,65,135,104,203,102,65,95,39,69,16,65,92,109,197,1868,759,330,117,6777,0.27238198589256646
M04837_139_000000000-C4LDR_1_2114_11627_3970,11,10,19,15,111,1395,126,181,0,91,3,20,179,655,428,142,146,106,0,119,417,411,160,1040,2747,0,367,8899,0.35766966097948194
M04837_139_000000000-C4LDR_1_1112_16009_19398,347,0,443,360,0,0,0,0,504,0,329,103,297,0,168,0,0,0,0,0,117,0,321,46,0,0,0,3035,0.12198307911818493
M04837_139_000000000-C4LDR_1_1113_21321_21850,0,475,823,14,0,81,1332,794,309,1296,395,208,0,719,11,539,5,0,322,221,11,0,388,0,0,0,1,7944,0.3192861879785374
M04837_139_000000000-C4LDR_1_1111_22309_16390,0,0,0,0,28,173,0,0,0,0,0,0,0,0,0,0,32,0,0,19,0,0,0,2,415,0,1382,2051,0.08243403468579812
M04837_139_000000000-C4LDR_1_2115_5980_13961,0,1,2,0,0,17,0,263,0,88,0,18,0,1,160,2,0,0,0,0,34,7,0,0,4,0,1521,2118,0.08512690661361307
