Representative_Sequence,B321D,B321N,B323D,B323N,B324D,B324N,B325D,B325N,B326D,B326N,B327D,B327N,B328D,B328N,B329N,B330D,B330N,B331D,B331N,B332D,B332N,B333D,B333N,B334D,B334N,B335D,B335N,total,relative
M04837_139_000000000-C4LDR_1_2109_18993_15897,73,81,412,406,11,47,83,116,428,651,401,397,41,38,938,199,57,174,391,133,544,44,63,147,28,525,369,6797,0.2731858282590784
M04837_268_000000000-JK5FH_1_2104_11292_7699,253,92,238,238,347,274,154,173,4,151,8,17,38,18,102,71,135,209,36,100,30,242,135,641,386,692,391,5175,0.20799421233496113
M04837_139_000000000-C4LDR_1_1101_14814_18062,448,26,16,41,34,9,47,102,0,33,31,14,43,83,98,129,88,58,42,68,13,55,5,14,4,152,23,1676,0.06736199031369948
M04837_139_000000000-C4LDR_1_1113_20196_23363,21,12,47,46,37,58,24,50,22,35,1,10,3,15,66,53,67,66,9,106,66,258,110,103,30,64,37,1416,0.05691203954904443
M04837_139_000000000-C4LDR_1_2105_10860_16237,0,0,0,0,0,0,0,0,572,0,1176,0,153,152,148,0,0,0,0,0,0,215,0,0,0,0,0,2416,0.09710415787464079
M04837_139_000000000-C4LDR_1_1101_18611_17885,0,0,0,155,0,0,22,0,0,0,52,3,218,0,142,57,74,0,1081,1,0,0,0,0,0,0,92,1897,0.07624444846365627
M04837_139_000000000-C4LDR_1_1117_12437_3764,1,0,13,14,314,124,31,42,1,7,1,9,57,99,34,1,1,29,0,58,15,96,1,623,148,4,321,2044,0.08215268985751895
M04837_139_000000000-C4LDR_1_2102_7738_9082,23,0,0,0,10,24,42,130,67,123,39,53,413,29,96,144,8,155,125,99,0,0,0,423,0,86,16,2105,0.08460440907538032
M04837_139_000000000-C4LDR_1_2113_2052_15036,38,4,74,92,35,21,103,160,325,156,147,253,235,643,230,121,135,246,336,188,77,113,80,35,6,76,179,4108,0.1651092220815498
M04837_139_000000000-C4LDR_1_2108_2863_9544,90,21,175,156,99,60,303,364,183,280,117,110,205,236,323,10,6,6,0,9,4,28,3,9,4,12,95,2908,0.11687868009083419
M04837_139_000000000-C4LDR_1_2119_8698_8116,27,149,35,39,29,22,23,61,0,17,5,0,17,44,60,26,89,135,296,64,78,36,51,34,62,23,28,1450,0.05827857157211471
M04837_139_000000000-C4LDR_1_2111_11379_9244,0,138,0,0,0,0,0,0,0,0,0,0,0,0,63,160,148,1,20,1056,304,0,0,0,3,0,0,1893,0.0760836799903539
M04837_139_000000000-C4LDR_1_2108_28028_7041,2,1,1,2,13,10,13,12,3,1,0,8,14,8,228,416,15,6,0,17,2,11,25,45,18,4,993,1868,0.07507887703221398
M04837_139_000000000-C4LDR_1_2108_9942_12621,258,407,79,10,63,37,82,49,303,184,90,31,2,0,0,0,4,19,113,4,17,74,285,4,42,56,209,2422,0.09734531058459436
M04837_139_000000000-C4LDR_1_2105_7746_22101,0,29,839,201,162,0,57,0,0,206,0,37,0,0,0,0,54,0,240,115,0,26,0,0,0,110,101,2177,0.08749824159482325
M04837_139_000000000-C4LDR_1_2115_6233_18539,51,25,397,427,144,193,121,132,289,286,169,160,30,51,56,21,54,44,34,123,22,173,190,180,150,117,478,4117,0.16547095114648017
M04837_139_000000000-C4LDR_1_2119_28854_12890,0,527,0,0,0,150,0,2334,0,344,22,220,0,0,2932,0,0,0,22,0,0,0,0,0,0,0,0,6551,0.2632985671509817
M04837_139_000000000-C4LDR_1_1105_24831_13257,12,65,26,33,1,19,61,10,165,75,190,86,33,36,19,105,141,63,71,46,114,13,84,1,15,14,90,1588,0.063825083901047
M04837_139_000000000-C4LDR_1_1115_8344_2742,859,1837,2749,2423,1066,1084,790,911,1586,1165,658,386,734,598,898,633,927,846,140,753,504,1057,459,751,114,509,85,24522,0.9855911255802737
M04837_139_000000000-C4LDR_1_1108_9484_3344,518,604,146,232,422,285,412,1045,4,719,78,326,701,573,1937,588,576,273,155,177,265,437,96,123,236,52,692,11672,0.4691224050963606
M04837_139_000000000-C4LDR_1_1119_21876_2037,23,1,38,63,88,31,37,215,24,24,17,43,261,177,96,45,23,16,14,80,2,19,2,41,2,24,39,1445,0.05807761098048673
M04837_139_000000000-C4LDR_1_2113_4185_16719,0,106,0,0,0,0,0,0,0,0,804,442,0,4,700,0,149,42,0,1,23,0,0,0,589,0,0,2860,0.11494945841120556
M04837_139_000000000-C4LDR_1_1112_18259_7209,0,0,0,0,0,0,0,74,0,27,0,93,136,335,1042,91,344,160,67,216,178,0,15,0,69,0,0,2847,0.11442696087297281
M04837_139_000000000-C4LDR_1_2118_7821_10020,0,243,0,0,0,21,0,660,0,0,9,58,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,1428,0.057394344968951586
M04837_268_000000000-JK5FH_1_1118_21635_13447,139,98,401,856,212,177,150,138,337,26,361,23,147,182,138,234,184,24,13,392,5,17,129,16,27,156,136,4718,0.18962641426016358
M04837_139_000000000-C4LDR_1_1110_23771_22969,44,1,8,118,261,752,49,154,1,18,0,3,37,67,55,4,2,10,8,6,351,43,6,307,344,4,39,2692,0.10819718253250538
M04837_139_000000000-C4LDR_1_1117_22489_11844,171,32,265,200,98,62,180,175,162,238,210,61,141,156,328,85,197,95,58,119,93,295,169,101,19,114,44,3868,0.15546311368340668
M04837_139_000000000-C4LDR_1_2102_28690_8410,37,202,43,25,96,133,12,120,39,58,12,7,18,30,80,66,121,40,137,51,131,70,108,65,98,20,172,1991,0.08002250758626234
M04837_139_000000000-C4LDR_1_2109_8451_13959,30,191,2,4,112,59,32,414,1,139,5,73,55,112,503,228,339,88,126,148,126,97,272,30,77,10,250,3523,0.14159683286107594
M04837_139_000000000-C4LDR_1_1102_6673_22780,15,17,19,23,2379,1521,94,84,23,20,3,0,0,0,51,0,30,14,16,9,0,0,0,289,68,237,205,5117,0.20566306947207652
M04837_139_000000000-C4LDR_1_1106_21733_7128,34,17,5,2,190,216,19,26,0,25,4,25,115,129,67,96,158,57,66,30,8,60,37,73,32,9,41,1541,0.06193605433974397
M04837_139_000000000-C4LDR_1_1114_20641_7490,0,0,0,290,0,233,163,98,318,35,398,249,89,94,169,0,3,1,0,3,0,261,0,0,0,943,1,3348,0.13456321215409658
M04837_139_000000000-C4LDR_1_1102_27874_14121,85,456,4,3,58,90,25,0,0,3,0,0,0,0,2,10,30,169,36,188,237,86,305,397,1219,139,19,3561,0.1431241333574486
M04837_139_000000000-C4LDR_1_2106_24374_11281,23,120,0,0,56,31,39,82,0,40,0,58,52,122,134,40,171,56,100,53,122,9,13,2,45,13,164,1545,0.06209682281304636
M04837_139_000000000-C4LDR_1_2115_5957_18665,9,25,40,69,42,111,37,36,34,104,0,0,15,0,4,6,10,7,0,310,1,0,221,499,423,34,132,2169,0.08717670464821849
M04837_139_000000000-C4LDR_1_2109_8679_20196,267,121,1055,1167,264,330,0,52,0,0,361,210,0,35,75,64,54,71,100,186,73,66,189,356,324,828,45,6293,0.25292900062297785
M04837_139_000000000-C4LDR_1_2107_25676_11749,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,4,32,69,527,0,688,0,0,0,3,0,44,1429,0.057434537087277186
M04837_139_000000000-C4LDR_1_1101_19951_7602,0,10,4,0,33,190,0,7,0,226,0,95,67,7,13,0,0,6,0,6,0,10,83,417,167,0,337,1678,0.06744237455035068
M04837_139_000000000-C4LDR_1_2119_13786_6044,0,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919,0.07712867506681939
M04837_139_000000000-C4LDR_1_1113_16775_15922,0,0,0,1,1259,0,0,0,88,0,269,150,76,294,0,0,112,40,0,0,0,0,0,0,0,0,0,2289,0.09199975884729004
M04837_139_000000000-C4LDR_1_1102_17352_15710,0,9,0,0,0,410,0,0,0,0,0,0,0,0,19,0,25,0,0,0,2025,0,61,0,15,0,1005,3569,0.14344567030405336
M04837_139_000000000-C4LDR_1_2117_20491_13229,0,1101,32,132,0,2,127,297,304,194,0,21,1,0,0,125,71,31,81,91,206,0,89,0,164,206,225,3500,0.14067241413958723
M04837_139_000000000-C4LDR_1_2102_18885_6349,1,11,6,9,0,45,9,77,99,1,98,67,55,885,192,50,98,129,28,105,53,33,0,0,0,0,0,2051,0.08243403468579812
M04837_139_000000000-C4LDR_1_2104_6260_10642,0,0,0,25,229,118,127,101,21,11,5,14,20,150,267,174,52,252,36,12,132,33,56,22,41,36,115,2049,0.08235365044914693
